timestamp,route,hour,minute,day_of_week,is_weekend,occupancy_count,occupancy_percent
2026-03-01 09:04:53,400/4,9,4,6,1,17,34.0
2026-03-01 09:05:10,400/4,9,5,6,1,17,34.0
2026-03-01 09:05:28,400/4,9,5,6,1,23,46.0
2026-03-01 09:05:45,400/4,9,5,6,1,23,46.0
2026-03-01 09:06:03,400/4,9,6,6,1,23,46.0
2026-03-01 09:06:20,400/4,9,6,6,1,23,46.0
2026-03-01 09:06:38,400/4,9,6,6,1,34,68.0
2026-03-01 09:06:56,400/4,9,6,6,1,34,68.0
2026-03-01 09:07:13,400/4,9,7,6,1,34,68.0
2026-03-01 09:07:31,400/4,9,7,6,1,34,68.0
2026-03-01 09:07:48,400/4,9,7,6,1,34,68.0
2026-03-01 09:08:06,400/4,9,8,6,1,34,68.0
2026-03-01 09:08:24,400/4,9,8,6,1,34,68.0
2026-03-01 09:08:41,400/4,9,8,6,1,34,68.0
2026-03-01 09:08:59,400/4,9,8,6,1,37,74.0
2026-03-01 09:09:16,400/4,9,9,6,1,37,74.0
2026-03-01 09:09:34,400/4,9,9,6,1,37,74.0
2026-03-01 09:09:52,400/4,9,9,6,1,37,74.0
2026-03-01 09:10:09,400/4,9,10,6,1,37,74.0
2026-03-01 09:10:27,400/4,9,10,6,1,37,74.0
2026-03-01 09:10:44,400/4,9,10,6,1,37,74.0
2026-03-01 09:11:02,400/4,9,11,6,1,37,74.0
2026-03-01 09:11:20,400/4,9,11,6,1,35,70.0
2026-03-01 09:11:37,400/4,9,11,6,1,35,70.0
2026-03-01 09:11:55,400/4,9,11,6,1,35,70.0
2026-03-01 09:12:12,400/4,9,12,6,1,35,70.0
2026-03-01 09:12:30,400/4,9,12,6,1,35,70.0
2026-03-01 09:12:48,400/4,9,12,6,1,35,70.0
2026-03-01 09:13:05,400/4,9,13,6,1,35,70.0
2026-03-01 09:13:23,400/4,9,13,6,1,35,70.0
2026-03-01 09:13:40,400/4,9,13,6,1,35,70.0
2026-03-01 09:13:58,400/4,9,13,6,1,35,70.0
2026-03-01 09:14:16,400/4,9,14,6,1,35,70.0
2026-03-01 09:14:33,400/4,9,14,6,1,35,70.0
2026-03-01 09:14:51,400/4,9,14,6,1,35,70.0
2026-03-01 09:15:08,400/4,9,15,6,1,35,70.0
2026-03-01 09:15:26,400/4,9,15,6,1,35,70.0
2026-03-01 09:15:44,400/4,9,15,6,1,35,70.0
2026-03-01 09:16:01,400/4,9,16,6,1,35,70.0
2026-03-01 09:16:19,400/4,9,16,6,1,35,70.0
2026-03-01 09:16:36,400/4,9,16,6,1,35,70.0
2026-03-01 09:16:54,400/4,9,16,6,1,35,70.0
2026-03-01 09:17:12,400/4,9,17,6,1,30,60.0
2026-03-01 09:17:29,400/4,9,17,6,1,30,60.0
2026-03-01 09:17:47,400/4,9,17,6,1,30,60.0
2026-03-01 09:18:04,400/4,9,18,6,1,30,60.0
2026-03-01 09:18:22,400/4,9,18,6,1,30,60.0
2026-03-01 09:18:40,400/4,9,18,6,1,30,60.0
2026-03-01 09:18:57,400/4,9,18,6,1,30,60.0
2026-03-01 09:19:15,400/4,9,19,6,1,30,60.0
2026-03-01 09:19:32,400/4,9,19,6,1,30,60.0
2026-03-01 09:19:50,400/4,9,19,6,1,30,60.0
2026-03-01 09:20:08,400/4,9,20,6,1,30,60.0
2026-03-01 09:20:25,400/4,9,20,6,1,30,60.0
2026-03-01 09:20:43,400/4,9,20,6,1,30,60.0
2026-03-01 09:21:00,400/4,9,21,6,1,30,60.0
2026-03-01 09:21:18,400/4,9,21,6,1,30,60.0
2026-03-01 09:21:36,400/4,9,21,6,1,30,60.0
2026-03-01 09:21:53,400/4,9,21,6,1,30,60.0
2026-03-01 09:22:11,400/4,9,22,6,1,34,68.0
2026-03-01 09:22:28,400/4,9,22,6,1,34,68.0
2026-03-01 09:22:46,400/4,9,22,6,1,34,68.0
2026-03-01 09:23:04,400/4,9,23,6,1,34,68.0
2026-03-01 09:23:21,400/4,9,23,6,1,34,68.0
2026-03-01 09:23:39,400/4,9,23,6,1,34,68.0
2026-03-01 09:23:56,400/4,9,23,6,1,34,68.0
2026-03-01 09:24:14,400/4,9,24,6,1,34,68.0
2026-03-01 09:24:32,400/4,9,24,6,1,34,68.0
2026-03-01 09:24:49,400/4,9,24,6,1,34,68.0
2026-03-01 09:25:07,400/4,9,25,6,1,34,68.0
2026-03-01 09:25:24,400/4,9,25,6,1,34,68.0
2026-03-01 09:25:42,400/4,9,25,6,1,34,68.0
2026-03-01 09:26:00,400/4,9,26,6,1,27,54.0
2026-03-01 09:26:17,400/4,9,26,6,1,27,54.0
2026-03-01 09:26:35,400/4,9,26,6,1,27,54.0
2026-03-01 09:26:52,400/4,9,26,6,1,27,54.0
2026-03-01 09:27:10,400/4,9,27,6,1,27,54.0
2026-03-01 09:27:28,400/4,9,27,6,1,27,54.0
2026-03-01 09:27:45,400/4,9,27,6,1,27,54.0
2026-03-01 09:28:03,400/4,9,28,6,1,27,54.0
2026-03-01 09:28:20,400/4,9,28,6,1,27,54.0
